Threat,Asset(s)
Unencrypted data transmission from third parties,"Cloud and remote storage, Email and messagging, Communication and network logs, System and application logs, Desktop devices, Mobile devices, IoT devices, Case management databases"
Unauthorized access to data,All assets
Lack of authorization management,All assets
Illegitimate cross-referencing of data,"Case management databases, Cloud and remote storage, Communication and network logs, Authentication and access logs, System and application logs, Location and tracking data, Email and messagging"
"Errors during updates, conﬁguration or maintenance",All assets
Replacement of an original document (paper) by a forgery,"Storage media, Case management databases, Forensic lab"
Replacement of components,"Desktop devices, Mobile devices, IoT devices, Forensic tools and equipment, Secure forensic workstations, Forensic lab"
Not to ensure separation of duties,All assets
Insufﬁcient knowledge of the software,All assets
Processing capacity overload,"Desktop devices, Mobile devices, IoT devices, Cloud and remote storage, Case management databases, Secure forensic workstations, Forensic lab"
Assignment of poorly trained employees.,All assets
Under tested software/hardware integration,All assets
Third party privacy breach,"Cloud and remote storage, Email and messagging, Communication and network logs, System and application logs, Case management databases"
Informed permission issues,"Location and tracking data, Email and messagging, IoT devices, Mobile devices, Desktop devices, Case management databases, Cloud and remote storage"
Cross-border data privacy concerns,"Cloud and remote storage, Email and messagging, Case management databases, Location and tracking data"
Lack of privacy management in tools and procedures,"Forensic tools and equipment, Secure forensic workstations, Case management databases"
Centralization of data,"Cloud and remote storage, Case management databases, Email and messagging, Communication and network logs, System and application logs"
Misjudgment of data,"Case management databases, Email and messagging, Communication and network logs, System and application logs, Cryptocurrency data"
Difficulty of assessing damage to privacy,All assets
Lack of consent and choice,All assets
Lack of purpose legitimacy and specification,"IoT devices, Location and tracking data, Cloud and remote storage, Case management databases"
Lack of collection limitation,"System and application logs, Authentication and access logs, Communication and network logs, IoT devices, Location and tracking data, Cloud and remote storage, Email and messagging, Case management databases"
Lack of data minimization,"System and application logs, Authentication and access logs, Communication and network logs, IoT devices, Location and tracking data, Cloud and remote storage, Email and messagging, Case management databases"
"Lack of use, retention and disclosure limitation","Cloud and remote storage, Case management databases, Communication and network logs, Authentication and access logs, System and application logs, Location and tracking data, Email and messagging"
Lack of accuracy and quality,"System and application logs, Authentication and access logs, Communication and network logs, IoT devices, Location and tracking data, Cloud and remote storage, Email and messagging, Case management databases"
"Lack of openness, transparency and notice","Cloud and remote storage, IoT devices, Mobile devices, Desktop devices, Email and messagging, Case management databases"
Group participation and access,"Cloud and remote storage, Case management databases, Email and messagging, Communication and network logs, Authentication and access logs, System and application logs, Secure forensic workstations, Forensic lab"
Lack of accountability,All assets
Lack of information security controls,All assets
Lack of compliance,All assets
