Threat (Domain-Independent),Asset(s),Threat Agent(s)
Unencrypted data transmission from third parties,"Cloud and remote storage, Email and messagging, Communication and network logs, System and application logs, Desktop devices, Mobile devices, IoT devices, Case management databases",Third Party
Unauthorized access to data,All assets,"Attacker, Data Controller, Data Processor, Third Party"
Lack of authorization management,All assets,"Data Processor, Third Party"
Illegitimate cross-referencing of data,"Case management databases, Cloud and remote storage, Communication and network logs, Authentication and access logs, System and application logs, Location and tracking data, Email and messagging","Data Controller, Data Processor, Third Party"
"Errors during updates, conﬁguration or maintenance",All assets,"Data Processor, Third Party"
Replacement by forgery,"Storage media, Case management databases, Forensic lab","Attacker, Data Processor, Third Party"
Replacement,"Desktop devices, Mobile devices, IoT devices, Forensic tools and equipment, Secure forensic workstations, Forensic lab","Attacker, Data Controller, Data Processor, Third Party"
Not to ensure separation of duties,All assets,"Data Controller, Data Processor, Third Party"
Insufﬁcient knowledge,All assets,"Data Processor, Third Party"
Processing capacity overload,"Desktop devices, Mobile devices, IoT devices, Cloud and remote storage, Case management databases, Secure forensic workstations, Forensic lab",Attacker
Poor training,All assets,"Data Controller, Third Party"
Under tested software/hardware integration,All assets,"Data Controller, Third Party"
Third party privacy breach,"Cloud and remote storage, Email and messagging, Communication and network logs, System and application logs, Case management databases",Third Party
Informed permission issues,"Location and tracking data, Email and messagging, IoT devices, Mobile devices, Desktop devices, Case management databases, Cloud and remote storage","Data Controller, Data Processor, Third Party"
Cross-border data privacy concerns,"Cloud and remote storage, Email and messagging, Case management databases, Location and tracking data","Data Controller, Data Processor, Third Party"
Lack of privacy management,"Forensic tools and equipment, Secure forensic workstations, Case management databases","Data Controller, Data Processor, Third Party"
Centralization of data,"Cloud and remote storage, Case management databases, Email and messagging, Communication and network logs, System and application logs","Data Processor, Third Party"
Misjudgment of data,"Case management databases, Email and messagging, Communication and network logs, System and application logs, Cryptocurrency data","Data Controller, Data Processor, Third Party"
Difficulty of assessing damage to privacy,All assets,"Data Controller, Data Processor, Third Party"
Lack of consent and choice,All assets,"Data Controller, Data Processor, Third Party"
Lack of purpose legitimacy and specification,"IoT devices, Location and tracking data, Cloud and remote storage, Case management databases","Data Controller, Data Processor, Third Party"
Lack of collection limitation,"System and application logs, Authentication and access logs, Communication and network logs, IoT devices, Location and tracking data, Cloud and remote storage, Email and messagging, Case management databases","Data Controller, Data Processor, Third Party"
Lack of data minimization,"System and application logs, Authentication and access logs, Communication and network logs, IoT devices, Location and tracking data, Cloud and remote storage, Email and messagging, Case management databases","Data Controller, Data Processor, Third Party"
"Lack of use, retention and disclosure limitation","Cloud and remote storage, Case management databases, Communication and network logs, Authentication and access logs, System and application logs, Location and tracking data, Email and messagging","Data Controller, Data Processor, Third Party"
Lack of accuracy and quality,"System and application logs, Authentication and access logs, Communication and network logs, IoT devices, Location and tracking data, Cloud and remote storage, Email and messagging, Case management databases","Data Controller, Data Processor, Third Party"
"Lack of openness, transparency and notice","Cloud and remote storage, IoT devices, Mobile devices, Desktop devices, Email and messagging, Case management databases","Data Controller, Data Processor, Third Party"
Group participation and access,"Cloud and remote storage, Case management databases, Email and messagging, Communication and network logs, Authentication and access logs, System and application logs, Secure forensic workstations, Forensic lab","Attacker, Data Processor"
Lack of accountability,All assets,"Data Controller, Data Processor, Third Party"
Lack of information security controls,All assets,"Attacker, Data Controller, Data Processor, Third Party"
Lack of compliance,All assets,"Data Controller, Data Processor, Third Party"
,,
Threat (Domain-Dependent),,Threat Agent(s)
Misdirection of investigation documents,,"Attacker, Data Processor, Third Party"
Access to data after case is closed,,"Attacker, Data Controller, Data Processor, Third Party"
Errors while uploading seized digital material,,"Data Processor, Third Party"
Unwarranted reporting of forensic findings,,"Attacker, Data Controller, Data Processor"
Surreptitious searches,,"Attacker, Data Controller, Data Processor, Third Party"
Selling of private forensic data,,"Attacker, Data Controller, Data Processor, Third Party"
Criminal use of digital forensics,,"Attacker, Data Controller, Data Processor, Third Party"
